[Sensor_ID],[loc_x],[loc_y],[loc_z],[n_x],[n_y],[n_z]
TA01_S1P,0.5298,0.5298,-0.0381,0.0,0.0,-1.0
TA02_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
FB01_S1P,-0.45480119,-0.82048301,-0.15645621,-0.48159672,-0.86882341,0.11493707
FB01_S2P,-0.51261392,-0.92477993,-0.077077734,-0.23725735,-0.42802355,0.87206924
FB01_S3P,-0.51261392,-0.92477993,0.077077734,0.23725735,0.42802355,0.87206924
FB01_S4P,-0.45480119,-0.82048301,0.15645621,0.48159672,0.86882341,0.11493707
PA1_S30P,0.56424453,-0.51703490,0.076557472,-0.35837509,0.32839030,-0.87391481
PA1_S31P,0.55494835,-0.50851652,0.047234263,-0.22110945,0.20260950,-0.95397065
PA1_S32P,0.55020193,-0.50416722,0.015971066,-0.074762491,0.068507207,-0.99484538
PA1_S01R,0.55020193,-0.50416722,-0.015971066,-0.73347692,0.67210783,-0.10140349
PA1_S03R,0.56424453,-0.51703490,-0.076557472,-0.64431756,0.59040832,-0.48607911
PA1_S05R,0.59478774,-0.54502259,-0.12469567,-0.45039246,0.41270869,-0.79171849
PA1_S07R,0.63686524,-0.58357952,-0.15255841,-0.18323374,0.16790280,-0.96862482
PA1_S09R,0.68388665,-0.62666671,-0.15731730,0.035501739,-0.032531353,-0.99883997
PA1_S11R,0.72924156,-0.66822683,-0.14153209,0.32346943,-0.29640515,-0.89861649
PA1_S13R,0.76631260,-0.70219619,-0.10273383,0.55884114,-0.51208360,-0.65227830
PA1_S15R,0.78907205,-0.72305138,-0.047231094,0.70334554,-0.64449750,-0.29987997
PA1_S17R,0.79381922,-0.72740136,0.015951386,0.73348629,-0.67211641,0.10127865
PA1_S19R,0.77978222,-0.71453882,0.076540179,0.64436253,-0.59044953,0.48596942
PA1_S21R,0.74924347,-0.68655521,0.12468359,0.45046567,-0.41277577,0.79164183
PA1_S23R,0.70716856,-0.64800065,0.15255349,0.18332340,-0.16798496,0.96859360
PA1_S25R,0.66003645,-0.60481203,0.15750000,-0.0000000,-0.0000000,1.0000000
PA1_S27R,0.61478030,-0.56334241,0.14153354,-0.32345554,0.29639242,0.89862564
PA1_S29R,0.57770866,-0.52937250,0.10273635,-0.55883105,0.51207435,0.65229419
PA1_S31R,0.55494835,-0.50851652,0.047234263,-0.70334091,0.64449326,0.29989998
