NOMINAL feedback sensor details.
Updated 2011-09-14 by Jeff Levesque.
All poloidal sensors are given first, then all radial sensors.
Nominal poloidal angles for sensors are -83.4, -29.3, +29.3, +83.4 degrees.
Units are meters, and the normal vectors are normalized.
Radial normal vectors point outward with respect to the plasma.
Poloidal normal vectors point in the +theta direction,
   with theta=0 at the outboard midplane and increasing upward.
Shells are fully inserted to the stopper positions as installed 2010-12-01.
These positions correspond to shell positions in the tree at nodes
   \HBTEP2::TOP.SHELL_POS:B01 through T10 set to zero, otherwise
   the positions should be adjusted according to the shell movement.
Columns are as follows:
[Sensor_ID]  [loc_x]  [loc_y]  [loc_z]  [n_x]  [n_y]  [n_z]
---begin data---
FB01_S1P      -0.45480119      -0.82048301      -0.15645621      -0.48159672      -0.86882341       0.11493707
FB01_S2P      -0.51261392      -0.92477993     -0.077077734      -0.23725735      -0.42802355       0.87206924
FB01_S3P      -0.51261392      -0.92477993      0.077077734       0.23725735       0.42802355       0.87206924
FB01_S4P      -0.45480119      -0.82048301       0.15645621       0.48159672       0.86882341       0.11493707
FB02_S1P       0.11432591      -0.93111013      -0.15645621       0.12106165      -0.98596835       0.11493707
FB02_S2P       0.12885862       -1.0494696     -0.077077734      0.059640703      -0.48573470       0.87206924
FB02_S3P       0.12885862       -1.0494696      0.077077734     -0.059640703       0.48573470       0.87206924
FB02_S4P       0.11432591      -0.93111013       0.15645621      -0.12106165       0.98596835       0.11493707
FB03_S1P       0.63978440      -0.68608484      -0.15645621       0.67747859      -0.72650690       0.11493707
FB03_S2P       0.72111156      -0.77329753     -0.077077734       0.33375803      -0.35791170       0.87206924
FB03_S3P       0.72111156      -0.77329753      0.077077734      -0.33375803       0.35791170       0.87206924
FB03_S4P       0.63978440      -0.68608484       0.15645621      -0.67747859       0.72650690       0.11493707
FB04_S1P       0.92086700      -0.17899846      -0.15645621       0.97512173      -0.18954451       0.11493707
FB04_S2P        1.0379244      -0.20175211     -0.077077734       0.48039114     -0.093378601       0.87206924
FB04_S3P        1.0379244      -0.20175211      0.077077734      -0.48039114      0.093378601       0.87206924
FB04_S4P       0.92086700      -0.17899846       0.15645621      -0.97512173       0.18954451       0.11493707
FB05_S1P       0.85020969       0.39645929      -0.15645621       0.90030150       0.41981748       0.11493707
FB05_S2P       0.95828537       0.44685580     -0.077077734       0.44353115       0.20682197       0.87206924
FB05_S3P       0.95828537       0.44685580      0.077077734      -0.44353115      -0.20682197       0.87206924
FB05_S4P       0.85020969       0.39645929       0.15645621      -0.90030150      -0.41981748       0.11493707
FB06_S1P       0.45480117       0.82048302      -0.15645621       0.48159670       0.86882342       0.11493707
FB06_S2P       0.51261390       0.92477994     -0.077077734       0.23725734       0.42802356       0.87206924
FB06_S3P       0.51261390       0.92477994      0.077077734      -0.23725734      -0.42802356       0.87206924
FB06_S4P       0.45480117       0.82048302       0.15645621      -0.48159670      -0.86882342       0.11493707
FB07_S1P      -0.11432594       0.93111013      -0.15645621      -0.12106168       0.98596835       0.11493707
FB07_S2P      -0.12885865        1.0494696     -0.077077734     -0.059640715       0.48573469       0.87206924
FB07_S3P      -0.12885865        1.0494696      0.077077734      0.059640715      -0.48573469       0.87206924
FB07_S4P      -0.11432594       0.93111013       0.15645621       0.12106168      -0.98596835       0.11493707
FB08_S1P      -0.63978442       0.68608482      -0.15645621      -0.67747861       0.72650689       0.11493707
FB08_S2P      -0.72111157       0.77329752     -0.077077734      -0.33375804       0.35791169       0.87206924
FB08_S3P      -0.72111157       0.77329752      0.077077734       0.33375804      -0.35791169       0.87206924
FB08_S4P      -0.63978442       0.68608482       0.15645621       0.67747861      -0.72650689       0.11493707
FB09_S1P      -0.92086701       0.17899844      -0.15645621      -0.97512174       0.18954449       0.11493707
FB09_S2P       -1.0379244       0.20175209     -0.077077734      -0.48039114      0.093378590       0.87206924
FB09_S3P       -1.0379244       0.20175209      0.077077734       0.48039114     -0.093378590       0.87206924
FB09_S4P      -0.92086701       0.17899844       0.15645621       0.97512174      -0.18954449       0.11493707
FB10_S1P      -0.85020970      -0.39645927      -0.15645621      -0.90030151      -0.41981746       0.11493707
FB10_S2P      -0.95828538      -0.44685578     -0.077077734      -0.44353115      -0.20682196       0.87206924
FB10_S3P      -0.95828538      -0.44685578      0.077077734       0.44353115       0.20682196       0.87206924
FB10_S4P      -0.85020970      -0.39645927       0.15645621       0.90030151       0.41981746       0.11493707
FB01_S1R      -0.45480119      -0.82048301      -0.15645621     -0.055722603      -0.10052623      -0.99337280
FB01_S2R      -0.51261392      -0.92477993     -0.077077734      -0.42278758      -0.76272893      -0.48938248
FB01_S3R      -0.51261392      -0.92477993      0.077077734      -0.42278758      -0.76272893       0.48938248
FB01_S4R      -0.45480119      -0.82048301       0.15645621     -0.055722603      -0.10052623       0.99337280
FB02_S1R       0.11432591      -0.93111013      -0.15645621      0.014007302      -0.11408035      -0.99337280
FB02_S2R       0.12885862       -1.0494696     -0.077077734       0.10627847      -0.86556897      -0.48938248
FB02_S3R       0.12885862       -1.0494696      0.077077734       0.10627847      -0.86556897       0.48938248
FB02_S4R       0.11432591      -0.93111013       0.15645621      0.014007302      -0.11408035       0.99337280
FB03_S1R       0.63978440      -0.68608484      -0.15645621      0.078386893     -0.084059658      -0.99337280
FB03_S2R       0.72111156      -0.77329753     -0.077077734       0.59474976      -0.63779109      -0.48938248
FB03_S3R       0.72111156      -0.77329753      0.077077734       0.59474976      -0.63779109       0.48938248
FB03_S4R       0.63978440      -0.68608484       0.15645621      0.078386893     -0.084059658       0.99337280
FB04_S1R       0.92086700      -0.17899846      -0.15645621       0.11282536     -0.021931033      -0.99337280
FB04_S2R        1.0379244      -0.20175211     -0.077077734       0.85604686      -0.16639870      -0.48938248
FB04_S3R        1.0379244      -0.20175211      0.077077734       0.85604686      -0.16639870       0.48938248
FB04_S4R       0.92086700      -0.17899846       0.15645621       0.11282536     -0.021931033       0.99337280
FB05_S1R       0.85020969       0.39645929      -0.15645621       0.10416837      0.048574506      -0.99337280
FB05_S2R       0.95828537       0.44685580     -0.077077734       0.79036314       0.36855238      -0.48938248
FB05_S3R       0.95828537       0.44685580      0.077077734       0.79036314       0.36855238       0.48938248
FB05_S4R       0.85020969       0.39645929       0.15645621       0.10416837      0.048574506       0.99337280
FB06_S1R       0.45480117       0.82048302      -0.15645621      0.055722600       0.10052623      -0.99337280
FB06_S2R       0.51261390       0.92477994     -0.077077734       0.42278756       0.76272894      -0.48938248
FB06_S3R       0.51261390       0.92477994      0.077077734       0.42278756       0.76272894       0.48938248
FB06_S4R       0.45480117       0.82048302       0.15645621      0.055722600       0.10052623       0.99337280
FB07_S1R      -0.11432594       0.93111013      -0.15645621     -0.014007304       0.11408035      -0.99337280
FB07_S2R      -0.12885865        1.0494696     -0.077077734      -0.10627849       0.86556897      -0.48938248
FB07_S3R      -0.12885865        1.0494696      0.077077734      -0.10627849       0.86556897       0.48938248
FB07_S4R      -0.11432594       0.93111013       0.15645621     -0.014007304       0.11408035       0.99337280
FB08_S1R      -0.63978442       0.68608482      -0.15645621     -0.078386895      0.084059656      -0.99337280
FB08_S2R      -0.72111157       0.77329752     -0.077077734      -0.59474978       0.63779108      -0.48938248
FB08_S3R      -0.72111157       0.77329752      0.077077734      -0.59474978       0.63779108       0.48938248
FB08_S4R      -0.63978442       0.68608482       0.15645621     -0.078386895      0.084059656       0.99337280
FB09_S1R      -0.92086701       0.17899844      -0.15645621      -0.11282536      0.021931030      -0.99337280
FB09_S2R       -1.0379244       0.20175209     -0.077077734      -0.85604687       0.16639868      -0.48938248
FB09_S3R       -1.0379244       0.20175209      0.077077734      -0.85604687       0.16639868       0.48938248
FB09_S4R      -0.92086701       0.17899844       0.15645621      -0.11282536      0.021931030       0.99337280
FB10_S1R      -0.85020970      -0.39645927      -0.15645621      -0.10416837     -0.048574504      -0.99337280
FB10_S2R      -0.95828538      -0.44685578     -0.077077734      -0.79036315      -0.36855236      -0.48938248
FB10_S3R      -0.95828538      -0.44685578      0.077077734      -0.79036315      -0.36855236       0.48938248
FB10_S4R      -0.85020970      -0.39645927       0.15645621      -0.10416837     -0.048574504       0.99337280
