[Sensor_ID],[loc_x],[loc_y],[loc_z],[n_x],[n_y],[n_z]
TA01_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA01_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA01_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA01_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA02_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA02_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA02_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA02_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA03_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA03_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA03_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA03_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA04_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA04_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA04_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA04_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA05_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA05_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA05_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA05_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA06_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA06_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA06_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA06_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA07_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA07_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA07_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA07_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA08_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA08_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA08_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA08_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA09_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA09_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA09_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA09_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA10_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA10_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA10_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA10_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
FB01_S1P,-0.45480119,-0.82048301,-0.15645621,-0.48159672,-0.86882341,0.11493707
FB01_S2P,-0.51261392,-0.92477993,-0.077077734,-0.23725735,-0.42802355,0.87206924
FB01_S3P,-0.51261392,-0.92477993,0.077077734,0.23725735,0.42802355,0.87206924
FB01_S4P,-0.45480119,-0.82048301,0.15645621,0.48159672,0.86882341,0.11493707
FB02_S1P,0.11432591,-0.93111013,-0.15645621,0.12106165,-0.98596835,0.11493707
FB02_S2P,0.12885862,-1.0494696,-0.077077734,0.059640703,-0.48573470,0.87206924
FB02_S3P,0.12885862,-1.0494696,0.077077734,-0.059640703,0.48573470,0.87206924
FB02_S4P,0.11432591,-0.93111013,0.15645621,-0.12106165,0.98596835,0.11493707
FB03_S1P,0.63978440,-0.68608484,-0.15645621,0.67747859,-0.72650690,0.11493707
FB03_S2P,0.72111156,-0.77329753,-0.077077734,0.33375803,-0.35791170,0.87206924
FB03_S3P,0.72111156,-0.77329753,0.077077734,-0.33375803,0.35791170,0.87206924
FB03_S4P,0.63978440,-0.68608484,0.15645621,-0.67747859,0.72650690,0.11493707
FB04_S1P,0.92086700,-0.17899846,-0.15645621,0.97512173,-0.18954451,0.11493707
FB04_S2P, 1.0379244,-0.20175211,-0.077077734,0.48039114,-0.093378601,0.87206924
FB04_S3P, 1.0379244,-0.20175211,0.077077734,-0.48039114,0.093378601,0.87206924
FB04_S4P,0.92086700,-0.17899846,0.15645621,-0.97512173,0.18954451,0.11493707
FB05_S1P,0.85020969,0.39645929,-0.15645621,0.90030150,0.41981748,0.11493707
FB05_S2P,0.95828537,0.44685580,-0.077077734,0.44353115,0.20682197,0.87206924
FB05_S3P,0.95828537,0.44685580,0.077077734,-0.44353115,-0.20682197,0.87206924
FB05_S4P,0.85020969,0.39645929,0.15645621,-0.90030150,-0.41981748,0.11493707
FB06_S1P,0.45480117,0.82048302,-0.15645621,0.48159670,0.86882342,0.11493707
FB06_S2P,0.51261390,0.92477994,-0.077077734,0.23725734,0.42802356,0.87206924
FB06_S3P,0.51261390,0.92477994,0.077077734,-0.23725734,-0.42802356,0.87206924
FB06_S4P,0.45480117,0.82048302,0.15645621,-0.48159670,-0.86882342,0.11493707
FB07_S1P,-0.11432594,0.93111013,-0.15645621,-0.12106168,0.98596835,0.11493707
